timestamp,tweets_count,max_senti,min_senti,avg_senti,extreme_positive_%,extreme_negative_%
2021-01-01 00:00:00,1272,0.6041538013237987,-0.5436549638234045,0.0984239303547768,0.1336477987421383,0.0982704402515723
2021-01-01 01:00:00,1373,0.6370260403709083,-0.5034138996269488,0.0799204848409363,0.1048798252002913,0.0859431900946831
2021-01-01 02:00:00,1102,0.6049370737838236,-0.5517008678744998,0.0751994067610195,0.1098003629764065,0.0961887477313974
2021-01-01 03:00:00,972,0.5933349638234046,-0.5292635949160935,0.0707391868928322,0.1008230452674897,0.0874485596707819
2021-01-01 04:00:00,840,0.5965938013237988,-0.4754138996269489,0.1112428303612474,0.1273809523809523,0.0666666666666666
2021-01-01 05:00:00,766,0.5970338013237988,-0.4928328053378676,0.1170595902630087,0.1422976501305483,0.0783289817232376
2021-01-01 06:00:00,790,0.6892560946429147,-0.4775738996269489,0.0900668136362603,0.1189873417721519,0.0860759493670886
2021-01-01 07:00:00,677,0.5618825806139596,-0.5379528053378676,0.0974044933648297,0.1122599704579025,0.0768094534711964
2021-01-01 08:00:00,786,0.5949538013237987,-0.5228635949160936,0.0876871987145965,0.1017811704834605,0.0737913486005089
2021-01-01 09:00:00,839,0.5996738013237988,-0.5183528053378677,0.1032115246629355,0.1203814064362336,0.0512514898688915
2021-01-01 10:00:00,757,0.5603808678744997,-0.516653899626949,0.0854814081766924,0.1083223249669749,0.0739762219286657
2021-01-01 11:00:00,773,0.5881349638234045,-0.4892195648551151,0.0969829143358413,0.1216041397153945,0.0659767141009055
2021-01-01 12:00:00,1051,0.5902549638234046,-0.5659008678744998,0.065353046140938,0.0884871550903901,0.0884871550903901
2021-01-01 13:00:00,1016,0.6506391297102301,-0.5830170737838235,0.0814486959814487,0.108267716535433,0.0807086614173228
2021-01-01 14:00:00,1172,0.5654970737838235,-0.5068595648551151,0.0838830603445474,0.1023890784982935,0.0708191126279863
2021-01-01 15:00:00,1332,0.5835348228176221,-0.4990280599092745,0.0727257391226253,0.1043543543543543,0.0855855855855855
2021-01-01 16:00:00,1277,0.6372660403709083,-0.5517408678744997,0.0692499865514639,0.0994518402505873,0.0931871574001566
2021-01-01 17:00:00,1473,0.5671225806139596,-0.5637625806139597,0.0627931116826449,0.1031907671418873,0.1106585200271554
2021-01-01 18:00:00,1634,0.5642025806139597,-0.4847928053378676,0.0777684832274369,0.105875152998776,0.0911872705018359
2021-01-01 19:00:00,1327,0.5739748228176221,-0.5588425806139596,0.0733233016322624,0.1032403918613413,0.0904295403165034
2021-01-01 20:00:00,1324,0.6630013422297794,-0.5552948228176221,0.0777037247681017,0.11404833836858,0.0974320241691842
2021-01-01 21:00:00,1470,0.5639008678744998,-0.5485835949160935,0.0741146398794375,0.1095238095238095,0.0965986394557823
2021-01-01 22:00:00,1210,0.6185208494404233,-0.5765349638234045,0.0689706617362904,0.1115702479338843,0.0983471074380165
2021-01-01 23:00:00,1105,0.6092170737838235,-0.5405225806139595,0.079724359169709,0.1031674208144796,0.085972850678733
2021-01-02 00:00:00,1095,0.5730949638234045,-0.513773899626949,0.0588473341604417,0.0949771689497716,0.1168949771689497
2021-01-02 01:00:00,975,0.5646425806139597,-0.501339564855115,0.0742207639323607,0.1128205128205128,0.1046153846153846
2021-01-02 02:00:00,938,0.5517928053378677,-0.5235738996269489,0.0737073136980936,0.1140724946695096,0.0884861407249466
2021-01-02 03:00:00,1025,0.6226408494404233,-0.5387138013237988,0.0873337876962793,0.1229268292682926,0.0819512195121951
2021-01-02 04:00:00,932,0.5718948228176222,-0.5527349638234046,0.0721155564577963,0.1040772532188841,0.1030042918454935
2021-01-02 05:00:00,893,0.5568025806139596,-0.5103128053378676,0.0880753983673044,0.1131019036954087,0.089585666293393
2021-01-02 06:00:00,1064,0.5810149638234046,-0.5470948228176221,0.0543615441815459,0.0761278195488721,0.0892857142857142
2021-01-02 07:00:00,1021,0.5727348228176221,-0.5776570737838235,0.0657881798579451,0.0901077375122429,0.0744368266405484
2021-01-02 08:00:00,1194,0.6229208494404233,-0.5705349638234045,0.0546525629888969,0.0678391959798995,0.0728643216080402
2021-01-02 09:00:00,1111,0.5600208678744997,-0.5125338996269488,0.0613752558743176,0.0819081908190819,0.0702070207020702
2021-01-02 10:00:00,870,0.6111460403709083,-0.5005480599092745,0.0689394712456379,0.0850574712643678,0.0655172413793103
2021-01-02 11:00:00,1029,0.5575435949160936,-0.5072635949160935,0.0540267323999753,0.0942662779397473,0.1146744412050534
2021-01-02 12:00:00,3620,0.6085960219785009,-0.5072635949160935,0.0439363385582046,0.0524861878453038,0.0856353591160221
2021-01-02 13:00:00,4009,0.6351431479629789,-0.5531625806139595,0.0483321077995893,0.0598653030680967,0.0955350461461711
2021-01-02 14:00:00,4181,0.6248408494404233,-0.5771538013237987,0.0658463874113122,0.0849079167663238,0.0889739296818942
2021-01-02 15:00:00,4136,0.5857749638234045,-0.5933370737838235,0.0680829428364141,0.0906673114119922,0.0882495164410058
2021-01-02 16:00:00,7244,0.6218008494404232,-0.5968231479629789,0.0470421838079113,0.0665378244064053,0.1129210381004969
2021-01-02 17:00:00,6273,0.6093370737838235,-0.5842549638234046,0.0632979231730321,0.0886338275147457,0.1071257771401243
2021-01-02 18:00:00,5225,0.5785349638234045,-0.6305431479629788,0.0599035703302836,0.0817224880382775,0.1006698564593301
2021-01-02 19:00:00,4901,0.5947349638234045,-0.519333899626949,0.0557633437235977,0.0828402366863905,0.1050805957967761
