index,timestamp,typical_price_first,typical_price_last,min_max_range,volume_sum,volume_std,number_of_trades_sum,number_of_trades_mean,quote_ratio_mean,quote_ratio_max,taker_buy_base_ratio_mean,taker_buy_base_ratio_max,taker_buy_quote_ratio_mean,taker_buy_quote_ratio_max,flag_mean,vola_current_range,vola_composite_index,ret_1m_log,ret_60m_future
33919,2021-06-30 11:00:00,34766.33,34882.494999999995,437.0,2898.726659,35.87037266633393,48363,806.05,34803.57594135931,34978.40954107784,0.4886105980847812,0.8573006585305923,17010.727260457315,29944.33635296948,1.0,0.0014916995389609,0.7855786130211089,5.268002661514481e-05,-0.0006802726957538
33920,2021-06-30 12:00:00,34831.53999999999,34659.25,444.1899999999951,3432.038824,59.92458505256162,51597,859.95,34780.942237903386,34993.39934027463,0.4553898286457281,0.8401838754195339,15841.755281183572,29152.383636415856,1.0,0.0016386469129362,0.8816920217749024,-0.0001015810811899,-0.0050397216137072
33921,2021-06-30 13:00:00,34658.185,34732.51,290.5899999999965,2332.104794,24.641830108869858,45260,754.3333333333334,34602.47918122338,34744.59523924943,0.4920717027247326,0.7672502917324966,17029.407210124835,26562.06317312686,1.0,0.0014089069951596,0.6576746807161399,4.631497866442491e-05,0.001385284743644
33922,2021-06-30 14:00:00,34742.205,34606.36,324.34999999999854,2628.070174,49.966880489562016,44349,739.15,34655.815142510655,34786.67120285703,0.4790219963153636,0.8195878551003091,16601.8572943737,28353.575677299043,1.0,0.0012633096649836,0.4820043025820748,-6.528362746461625e-05,-0.0106835374302966
33923,2021-06-30 15:00:00,34579.135,34190.630000000005,556.060000000005,5538.094539,113.67849647057017,81824,1363.7333333333331,34282.34197126127,34590.38871684801,0.4575404533305904,0.7196742000040042,15684.581482109968,24673.67768281221,1.0,0.0020109594018528,1.1001357878531752,-0.0001964342276402,-0.0007635383361162
33924,2021-06-30 16:00:00,34196.71000000001,34142.11,351.29999999999563,3389.53045,67.17201040128496,49234,820.5666666666667,34255.09159235132,34351.19302363538,0.483456619429904,0.7692132529856052,16561.99341162775,26295.467409998724,1.0,0.0014050885420749,0.5426606073667615,-3.72710060827636e-05,0.004402732389602
33925,2021-06-30 17:00:00,34135.215,34710.56,689.4199999999983,3195.14704,82.64761738770795,54763,912.7166666666668,34405.6838250232,34744.99012067754,0.5316852058429763,0.8993985529646793,18287.53416394918,30803.43992994203,1.0,0.00156121257938,0.907455530092192,0.0002858987940894,0.0077782392839767
33926,2021-06-30 18:00:00,34750.645000000004,34825.35,346.9700000000012,2841.350991,40.15828878887848,51152,852.5333333333333,34672.74412699613,34859.9450999763,0.4765753628030101,0.8081304279704968,16527.50333675761,27991.670683715263,1.0,0.0012729609545184,0.5401911283947244,5.496006140942729e-05,0.0024305179314913
33927,2021-06-30 19:00:00,34791.770000000004,34740.485,184.0999999999985,2702.033071,16.90950107440467,43607,726.7833333333333,34759.18438845556,34824.605435964724,0.5198271164306534,0.7731329017056198,18069.540688086523,26880.49667119533,1.0,0.0009333170235876,0.1333484658493881,-3.758087790606214e-05,0.0033511140448412
33928,2021-06-30 20:00:00,34763.845,34579.095,697.3499999999985,3995.881472,74.70556886436367,68914,1148.5666666666666,34873.87841762874,35039.72416774241,0.5125416148873319,0.8084902346264733,17878.802854253037,28224.422136846704,1.0,0.0016676633403102,1.043925111984264,-7.845305878326706e-05,-0.0011665812714871
